PLC_Tag,Address,RegisterType,DataType,FunctionCode,AccessType,Description,Unit,SignalType,DCS_Tag,DCS_Functions
1115-PM-101A_PERMIT.MCU,1,1,BOOL,2,Read,MCU.1115-PM-101A - R-101 Recycle Pumps_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
1115-PM-101A_FAULT.MCU,2,1,BOOL,2,Read,MCU.1115-PM-101A - R-101 Recycle Pumps_General Fault 1:Fault 0:Normal,"",Permanent,"",""
1115-PM-101A_STA.MCU,3,1,BOOL,2,Read,MCU.1115-PM-101A - R-101 Recycle Pumps_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
1115-PM-101A_EM_STOP.MCU,4,1,BOOL,2,Read,MCU.1115-PM-101A - R-101 Recycle Pumps_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
1115-PM-101A_SWITCH_ON.MCU,5,1,BOOL,2,Read,MCU.1115-PM-101A - R-101 Recycle Pumps_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
1115-PM-101A_MCCB POSITION.MCU,6,1,BOOL,2,Read,MCU.1115-PM-101A - R-101 Recycle Pumps_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
1115-PM-101A_REDAY.MCU,7,1,BOOL,2,Read,MCU.1115-PM-101A - R-101 Recycle Pumps_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
1630-PM-214A_TX.MCU,8,1,BOOL,2,Read,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
1630-PM-214A_PERMIT.MCU,9,1,BOOL,2,Read,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
1630-PM-214A_FAULT.MCU,10,1,BOOL,2,Read,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_General Fault 1:Fault 0:Normal,"",Permanent,"",""
1630-PM-214A_STA.MCU,11,1,BOOL,2,Read,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
1630-PM-214A_EM_STOP.MCU,12,1,BOOL,2,Read,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
1630-PM-214A_SWITCH_ON.MCU,13,1,BOOL,2,Read,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
1630-PM-214A_MCCB POSITION.MCU,14,1,BOOL,2,Read,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
1630-PM-214A_REDAY.MCU,15,1,BOOL,2,Read,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
