Address,Bit,PLC_Tag,Description,DataType,FunctionCode,RegisterType
1,,1115-PM-101A_PERMIT.MCU,MCU.1115-PM-101A - R-101 Recycle Pumps_Permitted State 1:Permit 0:No Permit,BOOL,2,1
2,,1115-PM-101A_FAULT.MCU,MCU.1115-PM-101A - R-101 Recycle Pumps_General Fault 1:Fault 0:Normal,BOOL,2,1
3,,1115-PM-101A_STA.MCU,MCU.1115-PM-101A - R-101 Recycle Pumps_Motor Operation 1:Running 0:Stopped,BOOL,2,1
4,,1115-PM-101A_EM_STOP.MCU,MCU.1115-PM-101A - R-101 Recycle Pumps_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
5,,1115-PM-101A_SWITCH_ON.MCU,MCU.1115-PM-101A - R-101 Recycle Pumps_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
6,,1115-PM-101A_MCCB POSITION.MCU,MCU.1115-PM-101A - R-101 Recycle Pumps_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
7,,1115-PM-101A_REDAY.MCU,MCU.1115-PM-101A - R-101 Recycle Pumps_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
8,,1630-PM-214A_TX.MCU,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
9,,1630-PM-214A_PERMIT.MCU,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_Permitted State 1:Permit 0:No Permit,BOOL,2,1
10,,1630-PM-214A_FAULT.MCU,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_General Fault 1:Fault 0:Normal,BOOL,2,1
11,,1630-PM-214A_STA.MCU,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_Motor Operation 1:Running 0:Stopped,BOOL,2,1
12,,1630-PM-214A_EM_STOP.MCU,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
13,,1630-PM-214A_SWITCH_ON.MCU,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
14,,1630-PM-214A_MCCB POSITION.MCU,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
15,,1630-PM-214A_REDAY.MCU,MCU.1630-PM-214A - HP Flare K.O.Drum Pump_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
16,,1630-PM-605A_TX.MCU,MCU.1630-PM-605A - LP Flare K.O.Drum Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
17,,1630-PM-605A_PERMIT.MCU,MCU.1630-PM-605A - LP Flare K.O.Drum Pump_Permitted State 1:Permit 0:No Permit,BOOL,2,1
