Address,Bit,PLC_Tag,Description,DataType,FunctionCode,RegisterType
18,,1630-PM-605A_FAULT.MCU,MCU.1630-PM-605A - LP Flare K.O.Drum Pump_General Fault 1:Fault 0:Normal,BOOL,2,1
19,,1630-PM-605A_STA.MCU,MCU.1630-PM-605A - LP Flare K.O.Drum Pump_Motor Operation 1:Running 0:Stopped,BOOL,2,1
20,,1630-PM-605A_EM_STOP.MCU,MCU.1630-PM-605A - LP Flare K.O.Drum Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
21,,1630-PM-605A_SWITCH_ON.MCU,MCU.1630-PM-605A - LP Flare K.O.Drum Pump_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
22,,1630-PM-605A_MCCB POSITION.MCU,MCU.1630-PM-605A - LP Flare K.O.Drum Pump_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
23,,1630-PM-605A_REDAY.MCU,MCU.1630-PM-605A - LP Flare K.O.Drum Pump_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
24,,1130-PM-305A_TX.MCU,MCU.1130-PM-305A - Offgas Absorber Bottom Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
25,,1130-PM-305A_PERMIT.MCU,MCU.1130-PM-305A - Offgas Absorber Bottom Pump_Permitted State 1:Permit 0:No Permit,BOOL,2,1
26,,1130-PM-305A_FAULT.MCU,MCU.1130-PM-305A - Offgas Absorber Bottom Pump_General Fault 1:Fault 0:Normal,BOOL,2,1
27,,1130-PM-305A_STA.MCU,MCU.1130-PM-305A - Offgas Absorber Bottom Pump_Motor Operation 1:Running 0:Stopped,BOOL,2,1
28,,1130-PM-305A_EM_STOP.MCU,MCU.1130-PM-305A - Offgas Absorber Bottom Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
29,,1130-PM-305A_SWITCH_ON.MCU,MCU.1130-PM-305A - Offgas Absorber Bottom Pump_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
30,,1130-PM-305A_MCCB POSITION.MCU,MCU.1130-PM-305A - Offgas Absorber Bottom Pump_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
31,,1130-PM-305A_REDAY.MCU,MCU.1130-PM-305A - Offgas Absorber Bottom Pump_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
32,,1130-PM-306A_TX.MCU,MCU.1130-PM-306A - Rich Oil Stripper Bottom Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
33,,1130-PM-306A_PERMIT.MCU,MCU.1130-PM-306A - Rich Oil Stripper Bottom Pump_Permitted State 1:Permit 0:No Permit,BOOL,2,1
34,,1130-PM-306A_FAULT.MCU,MCU.1130-PM-306A - Rich Oil Stripper Bottom Pump_General Fault 1:Fault 0:Normal,BOOL,2,1
35,,1130-PM-306A_STA.MCU,MCU.1130-PM-306A - Rich Oil Stripper Bottom Pump_Motor Operation 1:Running 0:Stopped,BOOL,2,1
36,,1130-PM-306A_EM_STOP.MCU,MCU.1130-PM-306A - Rich Oil Stripper Bottom Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
37,,1130-PM-306A_SWITCH_ON.MCU,MCU.1130-PM-306A - Rich Oil Stripper Bottom Pump_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
38,,1130-PM-306A_MCCB POSITION.MCU,MCU.1130-PM-306A - Rich Oil Stripper Bottom Pump_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
39,,1130-PM-306A_REDAY.MCU,MCU.1130-PM-306A - Rich Oil Stripper Bottom Pump_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
40,,1162-PM-602_TX.MCU,MCU.1162-PM-602 - SM Slop Drum water Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
41,,1162-PM-602_PERMIT.MCU,MCU.1162-PM-602 - SM Slop Drum water Pump_Permitted State 1:Permit 0:No Permit,BOOL,2,1
42,,1162-PM-602_FAULT.MCU,MCU.1162-PM-602 - SM Slop Drum water Pump_General Fault 1:Fault 0:Normal,BOOL,2,1
43,,1162-PM-602_STA.MCU,MCU.1162-PM-602 - SM Slop Drum water Pump_Motor Operation 1:Running 0:Stopped,BOOL,2,1
44,,1162-PM-602_EM_STOP.MCU,MCU.1162-PM-602 - SM Slop Drum water Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
45,,1162-PM-602_SWITCH_ON.MCU,MCU.1162-PM-602 - SM Slop Drum water Pump_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
46,,1162-PM-602_MCCB POSITION.MCU,MCU.1162-PM-602 - SM Slop Drum water Pump_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
47,,1162-PM-602_REDAY.MCU,MCU.1162-PM-602 - SM Slop Drum water Pump_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
48,,1162-PM-603_TX.MCU,MCU.1162-PM-603 - SM Slop Drum HC Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
49,,1162-PM-603_PERMIT.MCU,MCU.1162-PM-603 - SM Slop Drum HC Pump_Permitted State 1:Permit 0:No Permit,BOOL,2,1
50,,1162-PM-603_FAULT.MCU,MCU.1162-PM-603 - SM Slop Drum HC Pump_General Fault 1:Fault 0:Normal,BOOL,2,1
51,,1162-PM-603_STA.MCU,MCU.1162-PM-603 - SM Slop Drum HC Pump_Motor Operation 1:Running 0:Stopped,BOOL,2,1
52,,1162-PM-603_EM_STOP.MCU,MCU.1162-PM-603 - SM Slop Drum HC Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
53,,1162-PM-603_SWITCH_ON.MCU,MCU.1162-PM-603 - SM Slop Drum HC Pump_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
54,,1162-PM-603_MCCB POSITION.MCU,MCU.1162-PM-603 - SM Slop Drum HC Pump_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
55,,1162-PM-603_REDAY.MCU,MCU.1162-PM-603 - SM Slop Drum HC Pump_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
56,,2202-NK-SG-102-A.03OC_8_TX.MCU,MCU.2202-NK-SG-102-A.03OC_8 - SPARE_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
57,,2202-NK-SG-102-A.03OC_8_PERMIT.MCU,MCU.2202-NK-SG-102-A.03OC_8 - SPARE_Permitted State 1:Permit 0:No Permit,BOOL,2,1
58,,2202-NK-SG-102-A.03OC_8_FAULT.MCU,MCU.2202-NK-SG-102-A.03OC_8 - SPARE_General Fault 1:Fault 0:Normal,BOOL,2,1
59,,2202-NK-SG-102-A.03OC_8_STA.MCU,MCU.2202-NK-SG-102-A.03OC_8 - SPARE_Motor Operation 1:Running 0:Stopped,BOOL,2,1
60,,2202-NK-SG-102-A.03OC_8_EM_STOP.MCU,MCU.2202-NK-SG-102-A.03OC_8 - SPARE_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
61,,2202-NK-SG-102-A.03OC_8_SWITCH_ON.MCU,MCU.2202-NK-SG-102-A.03OC_8 - SPARE_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
62,,2202-NK-SG-102-A.03OC_8_MCCB POSITION.MCU,MCU.2202-NK-SG-102-A.03OC_8 - SPARE_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
63,,2202-NK-SG-102-A.03OC_8_REDAY.MCU,MCU.2202-NK-SG-102-A.03OC_8 - SPARE_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
64,,1130-PM-311_TX.MCU,MCU.1130-PM-311 - Back-washed pump_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
65,,1130-PM-311_PERMIT.MCU,MCU.1130-PM-311 - Back-washed pump_Permitted State 1:Permit 0:No Permit,BOOL,2,1
66,,1130-PM-311_FAULT.MCU,MCU.1130-PM-311 - Back-washed pump_General Fault 1:Fault 0:Normal,BOOL,2,1
67,,1130-PM-311_STA.MCU,MCU.1130-PM-311 - Back-washed pump_Motor Operation 1:Running 0:Stopped,BOOL,2,1
68,,1130-PM-311_EM_STOP.MCU,MCU.1130-PM-311 - Back-washed pump_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
69,,1130-PM-311_SWITCH_ON.MCU,MCU.1130-PM-311 - Back-washed pump_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
70,,1130-PM-311_MCCB POSITION.MCU,MCU.1130-PM-311 - Back-washed pump_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
71,,1130-PM-311_REDAY.MCU,MCU.1130-PM-311 - Back-washed pump_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
72,,1612-PM-611A_TX.MCU,MCU.1612-PM-611A - Desuperheater Water Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
73,,1612-PM-611A_PERMIT.MCU,MCU.1612-PM-611A - Desuperheater Water Pump_Permitted State 1:Permit 0:No Permit,BOOL,2,1
74,,1612-PM-611A_FAULT.MCU,MCU.1612-PM-611A - Desuperheater Water Pump_General Fault 1:Fault 0:Normal,BOOL,2,1
75,,1612-PM-611A_STA.MCU,MCU.1612-PM-611A - Desuperheater Water Pump_Motor Operation 1:Running 0:Stopped,BOOL,2,1
76,,1612-PM-611A_EM_STOP.MCU,MCU.1612-PM-611A - Desuperheater Water Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
77,,1612-PM-611A_SWITCH_ON.MCU,MCU.1612-PM-611A - Desuperheater Water Pump_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
78,,1612-PM-611A_MCCB POSITION.MCU,MCU.1612-PM-611A - Desuperheater Water Pump_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
79,,1612-PM-611A_REDAY.MCU,MCU.1612-PM-611A - Desuperheater Water Pump_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
80,,1612-PM-001A_TX.MCU,MCU.1612-PM-001A - oil pump motor_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
81,,1612-PM-001A_PERMIT.MCU,MCU.1612-PM-001A - oil pump motor_Permitted State 1:Permit 0:No Permit,BOOL,2,1
82,,1612-PM-001A_FAULT.MCU,MCU.1612-PM-001A - oil pump motor_General Fault 1:Fault 0:Normal,BOOL,2,1
83,,1612-PM-001A_STA.MCU,MCU.1612-PM-001A - oil pump motor_Motor Operation 1:Running 0:Stopped,BOOL,2,1
84,,1612-PM-001A_EM_STOP.MCU,MCU.1612-PM-001A - oil pump motor_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
85,,1612-PM-001A_SWITCH_ON.MCU,MCU.1612-PM-001A - oil pump motor_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
86,,1612-PM-001A_MCCB POSITION.MCU,MCU.1612-PM-001A - oil pump motor_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
87,,1612-PM-001A_REDAY.MCU,MCU.1612-PM-001A - oil pump motor_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
88,,1612-P-611A.HE-JB_TX.MCU,MCU.1612-P-611A.HE-JB - Oil heater junction box_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
89,,1612-P-611A.HE-JB_PERMIT.MCU,MCU.1612-P-611A.HE-JB - Oil heater junction box_Permitted State 1:Permit 0:No Permit,BOOL,2,1
90,,1612-P-611A.HE-JB_FAULT.MCU,MCU.1612-P-611A.HE-JB - Oil heater junction box_General Fault 1:Fault 0:Normal,BOOL,2,1
91,,1612-P-611A.HE-JB_STA.MCU,MCU.1612-P-611A.HE-JB - Oil heater junction box_Motor Operation 1:Running 0:Stopped,BOOL,2,1
92,,1612-P-611A.HE-JB_EM_STOP.MCU,MCU.1612-P-611A.HE-JB - Oil heater junction box_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
93,,1612-P-611A.HE-JB_SWITCH_ON.MCU,MCU.1612-P-611A.HE-JB - Oil heater junction box_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
94,,1612-P-611A.HE-JB_MCCB POSITION.MCU,MCU.1612-P-611A.HE-JB - Oil heater junction box_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
95,,1612-P-611A.HE-JB_REDAY.MCU,MCU.1612-P-611A.HE-JB - Oil heater junction box_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
96,,1624-PM-614_TX.MCU,MCU.1624-PM-614 - Wasteoil Sump Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
97,,1624-PM-614_PERMIT.MCU,MCU.1624-PM-614 - Wasteoil Sump Pump_Permitted State 1:Permit 0:No Permit,BOOL,2,1
98,,1624-PM-614_FAULT.MCU,MCU.1624-PM-614 - Wasteoil Sump Pump_General Fault 1:Fault 0:Normal,BOOL,2,1
99,,1624-PM-614_STA.MCU,MCU.1624-PM-614 - Wasteoil Sump Pump_Motor Operation 1:Running 0:Stopped,BOOL,2,1
100,,1624-PM-614_EM_STOP.MCU,MCU.1624-PM-614 - Wasteoil Sump Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
101,,1624-PM-614_SWITCH_ON.MCU,MCU.1624-PM-614 - Wasteoil Sump Pump_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
102,,1624-PM-614_MCCB POSITION.MCU,MCU.1624-PM-614 - Wasteoil Sump Pump_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
103,,1624-PM-614_REDAY.MCU,MCU.1624-PM-614 - Wasteoil Sump Pump_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
104,,2202-NK-SG-102-A.05OC_6_TX.MCU,MCU.2202-NK-SG-102-A.05OC_6 - SPARE_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
105,,2202-NK-SG-102-A.05OC_6_PERMIT.MCU,MCU.2202-NK-SG-102-A.05OC_6 - SPARE_Permitted State 1:Permit 0:No Permit,BOOL,2,1
106,,2202-NK-SG-102-A.05OC_6_FAULT.MCU,MCU.2202-NK-SG-102-A.05OC_6 - SPARE_General Fault 1:Fault 0:Normal,BOOL,2,1
107,,2202-NK-SG-102-A.05OC_6_STA.MCU,MCU.2202-NK-SG-102-A.05OC_6 - SPARE_Motor Operation 1:Running 0:Stopped,BOOL,2,1
108,,2202-NK-SG-102-A.05OC_6_EM_STOP.MCU,MCU.2202-NK-SG-102-A.05OC_6 - SPARE_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
109,,2202-NK-SG-102-A.05OC_6_SWITCH_ON.MCU,MCU.2202-NK-SG-102-A.05OC_6 - SPARE_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
110,,2202-NK-SG-102-A.05OC_6_MCCB POSITION.MCU,MCU.2202-NK-SG-102-A.05OC_6 - SPARE_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
111,,2202-NK-SG-102-A.05OC_6_REDAY.MCU,MCU.2202-NK-SG-102-A.05OC_6 - SPARE_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
112,,1130-PM-302A_TX.MCU,MCU.1130-PM-302A - Process Condensate Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
113,,1130-PM-302A_PERMIT.MCU,MCU.1130-PM-302A - Process Condensate Pump_Permitted State 1:Permit 0:No Permit,BOOL,2,1
114,,1130-PM-302A_FAULT.MCU,MCU.1130-PM-302A - Process Condensate Pump_General Fault 1:Fault 0:Normal,BOOL,2,1
115,,1130-PM-302A_STA.MCU,MCU.1130-PM-302A - Process Condensate Pump_Motor Operation 1:Running 0:Stopped,BOOL,2,1
116,,1130-PM-302A_EM_STOP.MCU,MCU.1130-PM-302A - Process Condensate Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
117,,1130-PM-302A_SWITCH_ON.MCU,MCU.1130-PM-302A - Process Condensate Pump_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
118,,1130-PM-302A_MCCB POSITION.MCU,MCU.1130-PM-302A - Process Condensate Pump_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
119,,1130-PM-302A_REDAY.MCU,MCU.1130-PM-302A - Process Condensate Pump_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
120,,1110-KM-101A-2_TX.MCU,MCU.1110-KM-101A-2 - Barring motor_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
121,,1110-KM-101A-2_PERMIT.MCU,MCU.1110-KM-101A-2 - Barring motor_Permitted State 1:Permit 0:No Permit,BOOL,2,1
122,,1110-KM-101A-2_FAULT.MCU,MCU.1110-KM-101A-2 - Barring motor_General Fault 1:Fault 0:Normal,BOOL,2,1
123,,1110-KM-101A-2_STA.MCU,MCU.1110-KM-101A-2 - Barring motor_Motor Operation 1:Running 0:Stopped,BOOL,2,1
124,,1110-KM-101A-2_EM_STOP.MCU,MCU.1110-KM-101A-2 - Barring motor_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
125,,1110-KM-101A-2_SWITCH_ON.MCU,MCU.1110-KM-101A-2 - Barring motor_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
126,,1110-KM-101A-2_MCCB POSITION.MCU,MCU.1110-KM-101A-2 - Barring motor_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
127,,1110-KM-101A-2_REDAY.MCU,MCU.1110-KM-101A-2 - Barring motor_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
128,,1110-PM-131A_TX.MCU,MCU.1110-PM-131A - Oil pump motor 1_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
129,,1110-PM-131A_PERMIT.MCU,MCU.1110-PM-131A - Oil pump motor 1_Permitted State 1:Permit 0:No Permit,BOOL,2,1
130,,1110-PM-131A_FAULT.MCU,MCU.1110-PM-131A - Oil pump motor 1_General Fault 1:Fault 0:Normal,BOOL,2,1
131,,1110-PM-131A_STA.MCU,MCU.1110-PM-131A - Oil pump motor 1_Motor Operation 1:Running 0:Stopped,BOOL,2,1
132,,1110-PM-131A_EM_STOP.MCU,MCU.1110-PM-131A - Oil pump motor 1_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
133,,1110-PM-131A_SWITCH_ON.MCU,MCU.1110-PM-131A - Oil pump motor 1_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
134,,1110-PM-131A_MCCB POSITION.MCU,MCU.1110-PM-131A - Oil pump motor 1_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
135,,1110-PM-131A_REDAY.MCU,MCU.1110-PM-131A - Oil pump motor 1_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
136,,1110-PM-131B_TX.MCU,MCU.1110-PM-131B - Oil pump motor 2_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
137,,1110-PM-131B_PERMIT.MCU,MCU.1110-PM-131B - Oil pump motor 2_Permitted State 1:Permit 0:No Permit,BOOL,2,1
138,,1110-PM-131B_FAULT.MCU,MCU.1110-PM-131B - Oil pump motor 2_General Fault 1:Fault 0:Normal,BOOL,2,1
139,,1110-PM-131B_STA.MCU,MCU.1110-PM-131B - Oil pump motor 2_Motor Operation 1:Running 0:Stopped,BOOL,2,1
140,,1110-PM-131B_EM_STOP.MCU,MCU.1110-PM-131B - Oil pump motor 2_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
141,,1110-PM-131B_SWITCH_ON.MCU,MCU.1110-PM-131B - Oil pump motor 2_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
142,,1110-PM-131B_MCCB POSITION.MCU,MCU.1110-PM-131B - Oil pump motor 2_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
143,,1110-PM-131B_REDAY.MCU,MCU.1110-PM-131B - Oil pump motor 2_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
144,,1110-KM-101A.EH02_TX.MCU,MCU.1110-KM-101A.EH02 - Electric heater for crankcase_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
145,,1110-KM-101A.EH02_PERMIT.MCU,MCU.1110-KM-101A.EH02 - Electric heater for crankcase_Permitted State 1:Permit 0:No Permit,BOOL,2,1
146,,1110-KM-101A.EH02_FAULT.MCU,MCU.1110-KM-101A.EH02 - Electric heater for crankcase_General Fault 1:Fault 0:Normal,BOOL,2,1
147,,1110-KM-101A.EH02_STA.MCU,MCU.1110-KM-101A.EH02 - Electric heater for crankcase_Motor Operation 1:Running 0:Stopped,BOOL,2,1
148,,1110-KM-101A.EH02_EM_STOP.MCU,MCU.1110-KM-101A.EH02 - Electric heater for crankcase_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
149,,1110-KM-101A.EH02_SWITCH_ON.MCU,MCU.1110-KM-101A.EH02 - Electric heater for crankcase_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
150,,1110-KM-101A.EH02_MCCB POSITION.MCU,MCU.1110-KM-101A.EH02 - Electric heater for crankcase_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
151,,1110-KM-101A.EH02_REDAY.MCU,MCU.1110-KM-101A.EH02 - Electric heater for crankcase_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
152,,1110-PM-133A_TX.MCU,MCU.1110-PM-133A - Water pump motor 1_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
153,,1110-PM-133A_PERMIT.MCU,MCU.1110-PM-133A - Water pump motor 1_Permitted State 1:Permit 0:No Permit,BOOL,2,1
154,,1110-PM-133A_FAULT.MCU,MCU.1110-PM-133A - Water pump motor 1_General Fault 1:Fault 0:Normal,BOOL,2,1
155,,1110-PM-133A_STA.MCU,MCU.1110-PM-133A - Water pump motor 1_Motor Operation 1:Running 0:Stopped,BOOL,2,1
156,,1110-PM-133A_EM_STOP.MCU,MCU.1110-PM-133A - Water pump motor 1_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
157,,1110-PM-133A_SWITCH_ON.MCU,MCU.1110-PM-133A - Water pump motor 1_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
158,,1110-PM-133A_MCCB POSITION.MCU,MCU.1110-PM-133A - Water pump motor 1_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
159,,1110-PM-133A_REDAY.MCU,MCU.1110-PM-133A - Water pump motor 1_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
160,,1110-V-136.EH_TX.MCU,MCU.1110-V-136.EH - Electric heater for water tank_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
161,,1110-V-136.EH_PERMIT.MCU,MCU.1110-V-136.EH - Electric heater for water tank_Permitted State 1:Permit 0:No Permit,BOOL,2,1
162,,1110-V-136.EH_FAULT.MCU,MCU.1110-V-136.EH - Electric heater for water tank_General Fault 1:Fault 0:Normal,BOOL,2,1
163,,1110-V-136.EH_STA.MCU,MCU.1110-V-136.EH - Electric heater for water tank_Motor Operation 1:Running 0:Stopped,BOOL,2,1
164,,1110-V-136.EH_EM_STOP.MCU,MCU.1110-V-136.EH - Electric heater for water tank_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
165,,1110-V-136.EH_SWITCH_ON.MCU,MCU.1110-V-136.EH - Electric heater for water tank_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
166,,1110-V-136.EH_MCCB POSITION.MCU,MCU.1110-V-136.EH - Electric heater for water tank_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
167,,1110-V-136.EH_REDAY.MCU,MCU.1110-V-136.EH - Electric heater for water tank_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
168,,1130-KM-301A_TX.MCU,MCU.1130-KM-301A - Barring motor_Communication Status 1:Communication Normal 0:Communication Interrupted,BOOL,2,1
169,,1130-KM-301A_PERMIT.MCU,MCU.1130-KM-301A - Barring motor_Permitted State 1:Permit 0:No Permit,BOOL,2,1
170,,1130-KM-301A_FAULT.MCU,MCU.1130-KM-301A - Barring motor_General Fault 1:Fault 0:Normal,BOOL,2,1
171,,1130-KM-301A_STA.MCU,MCU.1130-KM-301A - Barring motor_Motor Operation 1:Running 0:Stopped,BOOL,2,1
172,,1130-KM-301A_EM_STOP.MCU,MCU.1130-KM-301A - Barring motor_Emergency shutdown 1:Emergency shutdown 0:Normal,BOOL,2,1
173,,1130-KM-301A_SWITCH_ON.MCU,MCU.1130-KM-301A - Barring motor_MCCB Closed 1:Closed Position 0:Open Position,BOOL,2,1
174,,1130-KM-301A_MCCB POSITION.MCU,MCU.1130-KM-301A - Barring motor_MCCB Working Position 1:Working Position 0:Test Position,BOOL,2,1
175,,1130-KM-301A_REDAY.MCU,MCU.1130-KM-301A - Barring motor_Motor Ready 1:Ready 0:Not Ready,BOOL,2,1
