PLC_Tag,Address,RegisterType,DataType,FunctionCode,AccessType,Description,Unit,SignalType,DCS_Tag,DCS_Functions
2204-NK-SG-001-A.15OC_5_PERMIT.MCU,33,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.15OC_5 - Spare_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2204-NK-SG-001-A.15OC_5_FAULT.MCU,34,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.15OC_5 - Spare_General Fault 1:Fault 0:Normal,"",Permanent,"",""
2204-NK-SG-001-A.15OC_5_STA.MCU,35,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.15OC_5 - Spare_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2204-NK-SG-001-A.15OC_5_EM_STOP.MCU,36,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.15OC_5 - Spare_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2204-NK-SG-001-A.15OC_5_SWITCH_ON.MCU,37,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.15OC_5 - Spare_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2204-NK-SG-001-A.15OC_5_MCCB POSITION.MCU,38,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.15OC_5 - Spare_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2204-NK-SG-001-A.15OC_5_REDAY.MCU,39,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.15OC_5 - Spare_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2711-PM-1304A_TX.MCU,40,1,BOOL,2,Read,MCU.2711-PM-1304A - EB Transfer Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2711-PM-1304A_PERMIT.MCU,41,1,BOOL,2,Read,MCU.2711-PM-1304A - EB Transfer Pump_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2711-PM-1304A_FAULT.MCU,42,1,BOOL,2,Read,MCU.2711-PM-1304A - EB Transfer Pump_General Fault 1:Fault 0:Normal,"",Permanent,"",""
2711-PM-1304A_STA.MCU,43,1,BOOL,2,Read,MCU.2711-PM-1304A - EB Transfer Pump_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2711-PM-1304A_EM_STOP.MCU,44,1,BOOL,2,Read,MCU.2711-PM-1304A - EB Transfer Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2711-PM-1304A_SWITCH_ON.MCU,45,1,BOOL,2,Read,MCU.2711-PM-1304A - EB Transfer Pump_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2711-PM-1304A_MCCB POSITION.MCU,46,1,BOOL,2,Read,MCU.2711-PM-1304A - EB Transfer Pump_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2711-PM-1304A_REDAY.MCU,47,1,BOOL,2,Read,MCU.2711-PM-1304A - EB Transfer Pump_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2204-NK-SG-001-A.17OC_1_TX.MCU,48,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_1 - Spare_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2204-NK-SG-001-A.17OC_1_PERMIT.MCU,49,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_1 - Spare_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2204-NK-SG-001-A.17OC_1_FAULT.MCU,50,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_1 - Spare_General Fault 1:Fault 0:Normal,"",Permanent,"",""
2204-NK-SG-001-A.17OC_1_STA.MCU,51,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_1 - Spare_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2204-NK-SG-001-A.17OC_1_EM_STOP.MCU,52,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_1 - Spare_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2204-NK-SG-001-A.17OC_1_SWITCH_ON.MCU,53,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_1 - Spare_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2204-NK-SG-001-A.17OC_1_MCCB POSITION.MCU,54,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_1 - Spare_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2204-NK-SG-001-A.17OC_1_REDAY.MCU,55,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_1 - Spare_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2712-PM-0001_TX.MCU,56,1,BOOL,2,Read,MCU.2712-PM-0001 - Drain Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2712-PM-0001_PERMIT.MCU,57,1,BOOL,2,Read,MCU.2712-PM-0001 - Drain Pump_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2712-PM-0001_FAULT.MCU,58,1,BOOL,2,Read,MCU.2712-PM-0001 - Drain Pump_General Fault 1:Fault 0:Normal,"",Permanent,"",""
2712-PM-0001_STA.MCU,59,1,BOOL,2,Read,MCU.2712-PM-0001 - Drain Pump_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2712-PM-0001_EM_STOP.MCU,60,1,BOOL,2,Read,MCU.2712-PM-0001 - Drain Pump_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2712-PM-0001_SWITCH_ON.MCU,61,1,BOOL,2,Read,MCU.2712-PM-0001 - Drain Pump_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2712-PM-0001_MCCB POSITION.MCU,62,1,BOOL,2,Read,MCU.2712-PM-0001 - Drain Pump_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2712-PM-0001_REDAY.MCU,63,1,BOOL,2,Read,MCU.2712-PM-0001 - Drain Pump_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2630-PM-001A_TX.MCU,64,1,BOOL,2,Read,MCU.2630-PM-001A - Pump of HP Flare_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2630-PM-001A_PERMIT.MCU,65,1,BOOL,2,Read,MCU.2630-PM-001A - Pump of HP Flare_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2630-PM-001A_FAULT.MCU,66,1,BOOL,2,Read,MCU.2630-PM-001A - Pump of HP Flare_General Fault 1:Fault 0:Normal,"",Permanent,"",""
